Lote,Plaga,Larvas,E. Plagas,X,Y,Z
B42a,Opsiphanes cassina,0,EP13B42a,-90.43562301,16.20155498,136.161591
B42a,Opsiphanes cassina,0,EP14B42a,-90.434701,16.20010098,137.692825
B42a,Opsiphanes cassina,0,EP15B42a,-90.43473898,16.20107998,137.115494
B42a,Opsiphanes cassina,0,EP16B42a,-90.43383599,16.19960804,137.351273
B42a,Opsiphanes cassina,0,EP17B42a,-90.43385603,16.20058796,137.904099
B42a,Opsiphanes cassina,0,EP18B42a,-90.43382602,16.20153403,135.596909
B42a,Opsiphanes cassina,0,EP19B42a,-90.43298397,16.20018002,135.039581
B42a,Opsiphanes cassina,0,EP20B42a,-90.43298699,16.20108199,134.106171
B42a,Opsiphanes cassina,0,EP21B42a,-90.43209599,16.19961801,134.959839
B42a,Opsiphanes cassina,0,EP22B42a,-90.43210404,16.20057397,133.103195
B42a,Opsiphanes cassina,0,EP23B42a,-90.43210899,16.20155197,133.244675
B43a,Opsiphanes cassina,0,EP1B43a,-90.43919203,16.19703898,138.805969
B43a,Opsiphanes cassina,0,EP2B43a,-90.43916001,16.19802,139.125122
B43a,Opsiphanes cassina,0,EP3B43a,-90.43917904,16.19892198,137.900528
B43a,Opsiphanes cassina,0,EP4B43a,-90.43828502,16.19745104,129.611465
B43a,Opsiphanes cassina,0,EP5B43a,-90.438295,16.198509,135.707016
B43a,Opsiphanes cassina,0,EP6B43a,-90.43743904,16.19697704,129.0056
B43a,Opsiphanes cassina,0,EP7B43a,-90.43741004,16.19794398,128.059189
B43a,Opsiphanes cassina,0,EP8B43a,-90.43743904,16.198954,127.590195
B43a,Opsiphanes cassina,0,EP9B43a,-90.43655802,16.19747501,130.690643
B43a,Opsiphanes cassina,0,EP10B43a,-90.43657503,16.19844203,130.133759
B43a,Opsiphanes cassina,0,EP11B43a,-90.43567096,16.19696598,134.099716
B43a,Opsiphanes cassina,0,EP12B43a,-90.43568596,16.19793501,137.436966
B43a,Opsiphanes cassina,0,EP13B43a,-90.43570197,16.19885299,135.46524
B43a,Opsiphanes cassina,0,EP14B43a,-90.43478499,16.19745397,142.533081
B43a,Opsiphanes cassina,0,EP15B43a,-90.43482003,16.19842996,146.048401
B43a,Opsiphanes cassina,0,EP16B43a,-90.43393699,16.197057,141.806976
B43a,Opsiphanes cassina,0,EP17B43a,-90.43390196,16.19792696,139.495178
B43a,Opsiphanes cassina,0,EP18B43a,-90.43395703,16.19892801,137.4086
